mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4546255111694335,0.07457423127305388,0.15403881072998046,0.036652065814942035,gini,4,auto,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",0.8815049226441631,0.890295358649789,0.8941631504922645,0.8997890295358649,0.8906085121350686,0.8912721946914302,0.005961348633370592,55
4.057082748413086,0.1401667412585234,0.325193977355957,0.03267232380059901,gini,4,auto,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 500}",0.8818565400843882,0.890295358649789,0.8938115330520394,0.8997890295358649,0.8902567710165318,0.8912018464677226,0.005824084757024916,58
1.7276388645172118,0.12253396710827112,0.25083246231079104,0.1495846289522504,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.8815049226441631,0.890295358649789,0.8941631504922645,0.8997890295358649,0.8906085121350686,0.8912721946914302,0.005961348633370592,55
3.928306245803833,0.18653956252937415,0.35085692405700686,0.11551319590416646,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.8818565400843882,0.890295358649789,0.8938115330520394,0.8997890295358649,0.8902567710165318,0.8912018464677226,0.005824084757024916,58
1.6303936004638673,0.09916607488444718,0.20245671272277832,0.04248243571233448,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.8815049226441631,0.890295358649789,0.8941631504922645,0.8997890295358649,0.8906085121350686,0.8912721946914302,0.005961348633370592,55
3.8195101737976076,0.1694839099707322,0.308717155456543,0.047378489125678595,gini,4,log2,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.8818565400843882,0.890295358649789,0.8938115330520394,0.8997890295358649,0.8902567710165318,0.8912018464677226,0.005824084757024916,58
1.8339638710021973,0.14653383161877803,0.16485719680786132,0.05339862821003548,gini,5,auto,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 200}",0.8832630098452883,0.889943741209564,0.8952180028129395,0.89943741209564,0.8916637354906789,0.8919051802908221,0.005409287529707026,40
4.287946987152099,0.048805971708656554,0.3600451469421387,0.04140816324655397,gini,5,auto,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 500}",0.8839662447257384,0.889943741209564,0.8948663853727145,0.90014064697609,0.8916637354906789,0.8921161507549572,0.005353528577397334,34
1.7967132568359374,0.10638168390177626,0.17714638710021974,0.028652637340944625,gini,5,sqrt,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.8832630098452883,0.889943741209564,0.8952180028129395,0.89943741209564,0.8916637354906789,0.8919051802908221,0.005409287529707026,40
4.230727052688598,0.20135210131564193,0.39029731750488283,0.035188013071708046,gini,5,sqrt,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.8839662447257384,0.889943741209564,0.8948663853727145,0.90014064697609,0.8916637354906789,0.8921161507549572,0.005353528577397334,34
1.7075529098510742,0.07479719971555121,0.20548782348632813,0.07410488555292565,gini,5,log2,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.8832630098452883,0.889943741209564,0.8952180028129395,0.89943741209564,0.8916637354906789,0.8919051802908221,0.005409287529707026,40
4.15733757019043,0.1197440296965133,0.36117162704467776,0.05534151731961906,gini,5,log2,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.8839662447257384,0.889943741209564,0.8948663853727145,0.90014064697609,0.8916637354906789,0.8921161507549572,0.005353528577397334,34
1.9038747310638429,0.03338724912212806,0.1733781337738037,0.04304176664704734,gini,6,auto,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 200}",0.8843178621659634,0.8913502109704642,0.8952180028129395,0.8997890295358649,0.8923672177277524,0.892608464642597,0.005074360914476363,25
4.398566198348999,0.11470544964591972,0.3052518844604492,0.03605142181174939,gini,6,auto,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 500}",0.8832630098452883,0.8906469760900141,0.8955696202531646,0.90014064697609,0.8920154766092157,0.8923271459547545,0.005597197687281025,28
1.8741363525390624,0.08823207043173789,0.20354890823364258,0.10904720215499561,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.8843178621659634,0.8913502109704642,0.8952180028129395,0.8997890295358649,0.8923672177277524,0.892608464642597,0.005074360914476363,25
4.635156679153442,0.1547491248612047,0.3235031604766846,0.05013407473004405,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.8832630098452883,0.8906469760900141,0.8955696202531646,0.90014064697609,0.8920154766092157,0.8923271459547545,0.005597197687281025,28
1.952632236480713,0.14847254957127662,0.1757720947265625,0.047196854426935504,gini,6,log2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.8843178621659634,0.8913502109704642,0.8952180028129395,0.8997890295358649,0.8923672177277524,0.892608464642597,0.005074360914476363,25
